,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
0,1.2187216357820352,1.2908698639292626,0.4719,0.3733
1,1.1257330885358676,1.2139360957844243,0.5978,0.5126
2,1.1824723064519798,1.2351422499699198,0.5456,0.4916
3,1.227096559895072,1.2806224344642299,0.4851,0.4347
4,1.2831982283075904,1.321725911395565,0.3969,0.3586
5,1.1907164564557895,1.2239992049089663,0.4882,0.4527
6,1.187923760930444,1.225711887049827,0.4957,0.4443
7,1.1818833692817932,1.2061485735474118,0.5069,0.4894
8,1.1849436053804532,1.2067543230238993,0.508,0.4958
9,1.1752762908388854,1.200273200964472,0.5252,0.4966
10,1.172411570123806,1.2016775403053137,0.5349,0.5025
11,1.1694175323862939,1.1973168918281605,0.5419,0.5194
12,1.171082934756188,1.185566838379878,0.5458,0.5415
13,1.1652477038134434,1.18381329858379,0.5609,0.5616
14,1.1608803796160752,1.1823830794376933,0.5623,0.5539
15,1.164467903459148,1.1830691494000185,0.5546,0.5628
16,1.1627061442964395,1.1807334438251083,0.5567,0.5538
17,1.1522288808397427,1.1852911763889775,0.5729,0.5518
18,1.1545067729464003,1.1838475974502078,0.5666,0.5549
19,1.157765480363445,1.1800852808982703,0.5624,0.5577
20,1.1551902916780703,1.183569485214865,0.5706,0.5451
21,1.1477908002343147,1.1874805483848425,0.577,0.552
22,1.1570375884414479,1.1820680237120125,0.5736,0.5614
23,1.1570996463678445,1.1888090599874022,0.5607,0.5515
24,1.1531464802991054,1.1820488188676774,0.5703,0.557
25,1.156731942656693,1.1887918057715057,0.5604,0.5458
26,1.1498919763382833,1.1911011129427866,0.5753,0.5477
27,1.153023146519995,1.1802032130539037,0.5701,0.5549
28,1.1508412042241187,1.1758557542873795,0.5772,0.5681
29,1.1550977966588014,1.1831442785870498,0.5676,0.5571
30,1.156052836946621,1.1840327962948258,0.5705,0.5538
31,1.1543154314065436,1.1845866365797202,0.5711,0.5547
32,1.1593065899648485,1.184494578154983,0.5625,0.5541
33,1.1554327823553876,1.1853389869070357,0.5665,0.5527
34,1.1590297184172709,1.1829970384099682,0.5628,0.5565
35,1.1598561523826258,1.1818455427315584,0.566,0.5565
36,1.1539031980903285,1.186461174563997,0.5753,0.5538
37,1.1533042078564881,1.1876127871738118,0.5694,0.552
38,1.152435172135663,1.1872546551333871,0.5794,0.547
39,1.1586778983948336,1.181104766335457,0.5658,0.556
40,1.1565834276235787,1.1834614686905198,0.5681,0.5511
41,1.1570854202197616,1.1814092830487877,0.5643,0.5539
42,1.1533621671093497,1.1873566132442208,0.5655,0.5484
43,1.155310222297717,1.1852310265705084,0.5658,0.5519
44,1.1617846838228263,1.1835330056536728,0.5546,0.5518
45,1.1584333636958128,1.1800928882732513,0.5674,0.5584
46,1.157186527161082,1.1852152461458922,0.5673,0.5554
47,1.1600258312407572,1.180121899410418,0.5646,0.5587
48,1.1604222772987025,1.1781004614131465,0.5619,0.5596
49,1.1531263362070558,1.1881918117498895,0.5739,0.549
