,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
0,1.115103628984682,1.3217949688814248,0.6114,0.402
1,1.03366345319019,1.2058935658946919,0.7049,0.5299
2,0.9743501008695857,1.1060477943177436,0.7663,0.6319
3,0.9568411836958235,1.1578360951630173,0.7825,0.5805
4,0.9269082705686047,1.064922167996692,0.8149,0.6737
5,0.8714712812642383,0.9655151173567317,0.8709,0.7741
6,0.8383598988223228,0.9402632348856349,0.905,0.8007
7,0.8294880018112766,0.923591373452715,0.9143,0.8162
8,0.81777874451534,0.9400578353815018,0.9254,0.8008
9,0.8100177573550279,0.918226978201775,0.9323,0.8226
10,0.796954949949957,0.919994072549662,0.9473,0.82
11,0.7930671633428829,0.915946340864631,0.9521,0.8227
12,0.7905771918357558,0.9163206113371879,0.953,0.8242
13,0.7886308112721534,0.9138606577921825,0.9557,0.8265
14,0.7867229709959334,0.9157691039856831,0.9575,0.8239
15,0.7869242456308596,0.9181302208809337,0.9574,0.8198
16,0.7850961931951487,0.9171421569623764,0.9595,0.8201
17,0.7861656501035023,0.9136100870788477,0.9581,0.8273
18,0.787180778706909,0.9194678041585691,0.9577,0.8194
19,0.7858411066091744,0.9187120962294804,0.9579,0.8207
20,0.7884604968842427,0.913826544953,0.9554,0.8255
21,0.7833462118343183,0.9219776084468623,0.9605,0.8177
22,0.7835390533611273,0.9233137350173513,0.9612,0.8175
23,0.7862726742294943,0.9154697588294934,0.9583,0.8247
24,0.7889656929453467,0.9120793175545467,0.9554,0.8273
25,0.7874886552998974,0.9178500915788541,0.9568,0.8229
26,0.7850265552283852,0.9130638386033902,0.959,0.8273
27,0.7850264177960196,0.9171227398951343,0.959,0.8234
28,0.7882872330155343,0.9073788212363127,0.9556,0.832
29,0.7849261578480908,0.9134017783365432,0.9597,0.8267
30,0.7876247497880535,0.9225977116329654,0.9569,0.8185
31,0.7861008518820356,0.9192110960650596,0.9588,0.8195
32,0.7878197435360805,0.914659042267283,0.9564,0.8249
33,0.7868177833830475,0.9084282411131889,0.9578,0.8337
34,0.7921064135375296,0.9135730300739313,0.9534,0.8262
35,0.7837219826734749,0.9143906717847108,0.9614,0.8277
36,0.7819666987771441,0.9156305975974746,0.9623,0.8242
37,0.7871115682231393,0.9155106514122835,0.9579,0.8268
38,0.7869023927457773,0.9115946156204127,0.9589,0.8278
39,0.7853737082451012,0.9158361926200284,0.9595,0.8266
40,0.7831864941651654,0.9140067495358218,0.9609,0.8279
41,0.7822661191035228,0.9127129547914882,0.9621,0.8291
42,0.7840742901631981,0.9149856423116793,0.9608,0.8257
43,0.7861464202024375,0.9118189534563927,0.9575,0.8282
44,0.7837413594980908,0.9145787954330444,0.9612,0.8262
45,0.7852781650367057,0.9180017766679168,0.9587,0.8217
46,0.787225843235186,0.9131441025217627,0.9576,0.8279
47,0.784590426523974,0.911309268444207,0.9599,0.8319
48,0.785833847750524,0.9089255841674319,0.9585,0.8315
49,0.789949844976899,0.9091077986036896,0.9543,0.8322
